ABOUT (v.1),bent-1 
ABOUT (v.3),extended-B
ABOUT (v.4),5
ACCESS,extended-B
ACCIDENT (v.1),S
ACCIDENT (v.2),bent-extended-B
ACCIDENT (v.3),8
ACCIDENT (v.4) (BY ACCIDENT / ACCIDENTALLY),1
ACCIDENT (v.5) (BY ACCIDENT / ACCIDENTALLY),Y
ACCOMPLISH,1
ACT (v.1),Spread C 
ACT (v.2),extended-A
ADD (v.2),5
BABY,bent-extended-B
BACHELOR,B1
BACK (v. 2),extended-A
BACKPACK,C
BACON,bent-extended-u
BAD,extended-B
BAD (v. 2),I
BADGE,C-index
BAG,S
BAKE,extended-B
BALANCE,extended-B
BALD,bent-midfinger-5
BALL (v. 1),C
BANDAGE,B1
ADDICT,crooked-1
ADDRESS (v.1),extended-A
ADDRESS (v.3),extended-B
ADDRESS (v.4),extended-B
ADMIRE (v.2),V
ADMIT (v.1),extended-B
ADMIT (v.2),extended-B
ADULT (v.1),bent-extended-B
ADVANTAGE,F
ADVERTISE,S
AFTER (v.2),A
AFTER (v.4),A
BACK (v. 1),extended-B
BACK (v. 3),S
BACK_UP,3
BACKUP,extended-A
BAR (v. 1),Y
BAR (v. 2),extended-B
BARELY (v. 1),F
BASEBALL,S
BASEMENT (v. 1),bent-1 
BASKET,C
AFTERNOON (v.1),extended-B
AFTERNOON (v.2),B1
AGE (v.2),bent-extended-B
AGREE,1
AIRPLANE,combined-ILY
BASKETBALL (v. 1),crooked-5
BASKETBALL (v. 2),extended-B
BAT (v. 2),S
BATH,extended-A
BATHROOM (v. 1),A
BATHROOM (v. 3),extended-B
1_DOLLAR,1
ALCOHOL,combined-I+1
ALL (v.1),extended-B
(ALL) OVER,5
ALONE,1
ALWAYS,1
BATTERY (v. 1),X
BATTERY (v. 2),S
BEAR (v. 1),clawed-extended-5
BEAR (v. 2),extended-B
BEAR (v. 3),A
BEAR (v. 4),bent-extended-B
BEARD,Spread C 
BEAVER (v. 1),clawed-V
BEAVER (v. 2),extended-B
BECAUSE (v. 1),extended-R
BECAUSE (v. 2),bent-midfinger-5
BECOME (v. 1),extended-B
BECOME (v. 2),1
BED,extended-B
BEE (v. 1),closed-X
BEER (v. 1),B1
BEFORE (v. 2),bent-extended-B
(GO) BEFORE (v. 5),extended-B
ANGEL,bent-extended-B
ANGRY,clawed-extended-5
ANIMAL (v.1),bent-extended-B
ANIMAL (v.2),bent-V
ANNOUNCE,1
ANSWER,1
ANTLERS,5
ANY,extended-A
APART,bent-extended-B
APPEAR (v.1),bent-extended-B
BEHAVIOUR,Spread C 
BEHIND (v. 1),extended-A
BEHIND (v. 3),A
BELIEVE (v. 2),Extended-C
BELIEVE (v. 3),crooked-U 
BELT,modified-g
BEND,flat-O
APPLE (v.1),X
APPLE (v.2),clawed-extended-L
APPOINTMENT (v.2),S
AREA (v.1),5
AREA (v.2),B1
ARGUE,bent-1 
ARMY,A
ARGUE (alt.),bent-1 
ARRIVE (v.2),extended-B
ARRIVE (v.2 alt.),extended-B
ARTICLE (v.2),extended-B
BENEFIT,F
BEST (v. 2),extended-A
BET,B1
BETTER (v. 2),extended-A
BETWEEN (v. 2),extended-B
BICYCLE (v. 1),S
BICYCLE (v. 2),clawed-extended-L
BIG (v. 1),clawed-extended-L
BIG (v. 2),bent-extended-B
ASK (v.3),extended-B
ASSIGN,X
ASSIST (v.2),extended-A
ATHLETE,A
(PAY) ATTENTION,extended-B
ATTITUDE,A
AUDIENCE,crooked-5
AUDITORIUM (v.2),F
AUNT,A
AUTOMATIC (v.2),X
BIND (v. 1),covered-T
(IN A) BIND,bent-V
BINOCULARS,C
BIOLOGY,B1
BIRD,modified-g
BIRTH (v. 1),extended-B
BIRTH (v. 2),extended-B
BIRTHDAY (v. 5),extended-K
BIRTHDAY (v. 6),bent-midfinger-5
BITCH (v. 1),B1
BITCH (v. 2),crooked-5
BLACK,bent-1 
BLANKET,bent-extended-B
BLIND (v. 1),crooked-V
BLIND (v. 2),closed-X
BLINDS,Bent-B 
VERTICALS,B1
BLOND,Y
BLOUSE,crooked-5
CAREFUL,K
BLOW (v. 2),5
BLUE (v. 1),B1
BLUE (v. 2),bent-midfinger-5
BLURRY,5
BOARD (v. 1),B1
BOARD (v. 2),Extended-C
BOARD (v. 3),1
BOAT,Extended-C
BODY,extended-B
BOIL,bent-5
BOMB,S
BONE,S
BOOK (v. 1),extended-B
BOOT (v. 2),X
BORED (v. 1),1
BORROW,V
BOSS (v. 2),Spread C 
BOSS (v. 3),1
CARRY,extended-B
CASTLE,S
CASUAL,1
CAT,flat-F
CATCH (v.5),F
CATEGORY,Spread C 
CAUSE (v.2),extended-R
CELEBRATE ,covered-T
CEREAL,X
CERTIFY,C
CHAIN,F
CHAIR (v.1),U
CHAIR (v.2),X
CHALLENGE,extended-A
CHANCE,A
CHANGE ,A
CHANGE (CLOTHES),covered-T
CHAOS,crooked-5
CHARACTER (v.1),C
BOTH (v. 2),K
BOTTOM,extended-B
BOUNCE,extended-B
BOWL (v. 1),Extended-C
BOWL (v. 2),Spread C 
BOX (v. 2),S
BRA,Extended-C
BRAG,extended-A
BRAVE (v. 2),bent-extended-B
BREAD (v. 2),extended-B
BREAK (v. 1),S
BREAK (v. 3),modified-5
BREAKDOWN,crooked-5
BREATHE,5
BRIDESMAID (v. 1),S
BRIDESMAID (v. 2),S
BRIDGE (v. 1),V
BRIDGE (v. 2),V
BRIDGE (v. 3),A
BRIGHT (v. 2),bent-midfinger-5
BRING,extended-B
CHAT,crooked-5
CHEAT (v.1),modified-5
CHEAT (v.2),crooked-L
CHEAT (v.3),crooked-1
CHEAT (v.5),1
CHEEK,1
CHEESE,crooked-5
CHEW,A
CHILD,bent-extended-B
CHILDREN,extended-B
CHIN,bent-1 
CHOKE,C
CHOP,extended-B
BROTHER (v. 1),L
BROTHER (v. 2),A
BROWN (v. 1),bent-5
BROWN (v. 2),B1
BROWN (v. 4),Spread C 
BRUSH (v. 1),A
BRUSH (v. 2),bent-1 
BUDGET (v. 2),Contracted B 
BUFFALO (v. 1),S
BUFFALO (v. 2),Y
BUG (v. 1),3
BUG (v. 2),clawed-V
BUILDING,bent-extended-B
BURN (v. 2),5
BURY (v. 2),extended-B
BUSINESS (v. 2),S
BUT (v. 1),1
BUTTON,F
GOODBYE,bent-extended-B
GOODBYE (alt.),bent-extended-B
CHRISTMAS (v.1),C
CHRISTMAS (v.2),covered-T
CHRISTMAS (v.3),C
CHRISTMAS (v.4),C
CHRISTMAS (v.5),crooked-5
CIGAR,bent-R
CIRCLE,bent-1 
CIRCUS,clawed-V
CITY,extended-B
CLAP,extended-B
CLASH (v.1),1
CLASS,Spread C 
CLEAN,extended-B
CLOSE (A BOOK) (v.1),extended-B
CLOSE (A BUSINESS) (v.2),B1
CLOSE (A DOOR) (v.3),B1
CLOSE (A WINDOW) (v.6),bent-extended-B
CLOTHES,5
CLOUD,Spread C 
CLOWN,spread-open-O
COACH,Spread C 
COKE (v.2),extended-A
COKE (v.3),L
COFFEE (v.1),S
COFFEE (v.2),C
COIN,F
COLD (v.1),A
COLD (v.2),A-index 
COLLEGE ,extended-B
COLOUR (v.1),5
COMB,crooked-5
COME (v.1),1
COME (v.2),extended-B
COMFORTABLE ,Extended-C
COMMENT ,4
COMMITTEE (v.1),Extended-C
COMMUNICATE,C
COKE (v.  2 alt.),extended-A
DAMN,D
DANGEROUS (v. 1),A
DANGEROUS (v. 2),extended-B
DANGEROUS (v. 3),V
DANGEROUS (v. 4),clawed-V
DARK (v. 1),extended-B
DAUGHTER (v. 1),extended-B
DAUGHTER (v. 2),bent-extended-B
DEAF,1
DEAF (alt.),1
DEATH,extended-B
DECIDE,F
DECLINE (v. 1),bent-extended-B
DECLINE (v. 2),extended-B
DECLINE (v. 4),5
DECORATE,Spread C 
DEDICATE,U
DEER,5
DEGREE (v. 1),F
DEGREE (v. 3),1
COMMUTE,extended-A
COMPLAIN,Spread C 
COMPLEX (v.1),crooked-5
COMPLEX (v.2),X
COMPUTER (v.1),C
COMPUTER (v.2),Extended-C
CONCEPT,I
CONCERNED (v.1),bent-midfinger-5
CONCERNED (v.2),1
CONFIDENTIAL,A
CONFUSE (v.1),crooked-5
CONFUSE (v.2),crooked-5
CONSUME (v.1),modified-O
CONTACT (v.1),bent-midfinger-5
CONTACT LENS,bent-midfinger-5
CONTINUE,extended-A
CONVINCE,extended-B
COOK,extended-B
COOKIE (v.2),clawed-extended-5
COOL (v.1),bent-extended-B
COOPERATE,F
CORNER (v.1),1
CORRECT (v.1),1
CORRECT (v.2),X
COST (v.2),F
COUGH,Spread C 
COUNTRY (v.1),Y
COUSIN (v.1),C
COUSIN (v.2),C
COVER UP,extended-B
COW,Y
COWBOY,L
CRACK (v.1),extended-B
CRACKER (v.1),A
CRAWL (v.2),crooked-5
CRAZY (v.1),crooked-5
CRAZY (v.2),1
CRAZY (v.3),crooked- slanted- 5
CREATE (v.1),4
CREATE (v.2),S
CROCODILE,Spread C 
CROSS (v.3),1
CROSS (v.4),Extended-C
CROSS (v.5),1
CROSS (v.6),1
CROWN,clawed-extended-L
CRY (v.2),Spread C 
CURIOUS (v.1),F
CURIOUS (v.2),crooked-5
CURLY HAIR,Spread C 
CURTAIN,4
CUT (CAKE) (v.3),extended-B
CUT (MEAT) (v.5),closed-A-index
CUTE ,extended-U 
DELEGATE (v. 2),D
DELEGATE (v. 3),X
DELIBERATE (v. 1),flat-O
DELICIOUS (v. 2),5
DEMOTE (v. 2),bent-extended-B
DENT,bent-extended-B
DENTIST (v. 1),X
DENTIST (v. 2),extended-A
DENTIST (v. 3),bent-thumb-L
DENY (v. 1),extended-A
DEODORANT,S
DEODORANT (alt.),X
DEPEND,1
DEPRESSED (v. 2),5
DEPRESSION,bent-extended-B
DESERT (v. 2),5
DESIGN (v. 1),4
DEVELOP (v. 2),Contracted B 
DEVIL,crooked-extended-V
DEVOUR,bent-extended-B
DIAMOND (v. 3),D
DIAMOND (v. 4),bent-1 
DIE,extended-B
DIFFERENT,1
DIG (v. 1),A
DIG (v. 2),crooked-5
DINNER,modified-O
DINOSAUR,clawed-V
DIRECTOR,X
DIRTY,modified-5
DISAPPOINTED,1
DISRUPT,crooked-5
DYE,F
DUMB,A
DRY,X
DRUNK (v.1),extended-A
DRUNK (v.2),B1
DRUM (v.2),closed-A-index
DRUG (v.2),S
DRUG (v.1),bent-midfinger-5
DROWN (v.1),crooked-5
DROP (v.2),bent-U
DRIVE (v.1),S
DRIVE (v.2),covered-T
DRIVE (v.3),A
DRINK,C
DRESS (v.2),modified-5
DRAWER,S
DRAW (v.4),covered-T
DRAG (v.1),S
DOWNSIZE ,crooked-L
DOWN (v.1),bent-1 
DOWN (v.2),bent-midfinger-5
DOUBLE (v.2),extended-B
DORMITORY,D
(BE) DISTRACTED,bent-V
DIVE,bent-U
DIVIDE,extended-B
DIVIDE (alt. 1),extended-B
DIZZY,crooked-5
(WHAT TO) DO,Partially Bent D
DOCTOR,crooked-5
DOCUMENT (v. 1),crooked-5
DOG (v. 1),extended-B
DOG (v. 2),D
DOLL (v. 1),X
DOLL (v. 2),1
DOMINANT,S
DONKEY,B1
(DON'T/DOESN'T/DIDN'T) KNOW,extended-B
(DON'T) LIKE (v. 1),extended-B
DOUGHTNUT (v. 1),F
DOUGHNUT (v. 3),F
DOOR (v. 1),B1
DOOR (v. 2),extended-B
EACH,extended-A
EACH OTHER ,extended-A
EAGLE,X
EAR,1
EARLY (v.1),bent-midfinger-5
EARLY (v.3),crooked-5
EARRINGS,open-O-index
EAST,E
EASTER,E
EASY (v.2),crooked-1
EAT,modified-O
EDIT (v.2),covered-T
EDIT (v.3),slanted-V
EGG (v.1),bent-U
EIGHT,8
EITHER (v.3),Y
ELEGANT,5
ELEMENTARY SCHOOL,extended-B
ELEPHANT,C
EMBARRASSED (v.2),5
EMOTION,E
EMPTY (v.2),bent-extended-B
END (v.1),5
END (v.2),extended-B
END (v.3),extended-B
END (v.4),I
ENEMY,bent-1 
ENERGY,E
ENGINE,clawed-extended-5
ENJOY,extended-B
ENOUGH,extended-B
EQUAL,bent-extended-B
ERASE (BOARD) (v.2),A
EVALUATE (v.2),E
EVEN (v.2),bent-extended-B
EVEN (v.3),bent-extended-B
(GET) EVEN (v.6),bent-extended-B
EVENT (v.2),1
EVERYDAY,A
EVIDENCE ,extended-B
EXCITED ,bent-midfinger-5
EXCUSE (v.2),bent-extended-B
EXERCISE (v.1),S
EXPERIMENT (v.2),E
EXPERT (v.1),C
EXPERT (v.2),F
EXPLAIN,F
EXPLODE,S
EXPRESS (v.2),extended-B
EYE,bent-1 
FACE (v. 2),extended-B
FACE (v. 1),1
FAINT (v. 2),bent-midfinger-5
FAIR (v. 1),bent-extended-B
FAIR (v. 2),5
FAIR (v. 5),clawed-V
FAKE (v. 1),1
FAKE (v. 3),Bent-B 
FALL (v. 1),B1
FALL (v. 4),bent-U
FALL (v. 6),extended-B
FALL_ASLEEP (v. 2),bent-extended-B
FAMILY,F
FAMOUS,bent-1 
FAN (v. 1),1
(CEILING) FAN (v. 2),1
FAN (v. 3),flat-O
FANTASY (v. 1),I
FANTASY (v. 3),4
FAR (v. 1),extended-A
FAR (v. 2),1
FARM (v. 1),extended-B
FARM (v. 2),modified-5
FARM (v. 3),extended-B
FASCINATED,Spread C 
FASHION,modified-5
FAT (v. 1),crooked-5
FAT (v. 2),crooked-5
FATHER (v. 1),1
FATHER (v. 2),5
FATHER (v. 3),U
FAULT (v. 1),bent-extended-B
FAULT (v. 2),Y
FAULT (v. 3),B1
FAVOURITE (v. 1),bent-midfinger-5
FAVOURITE (v. 2),S
FAVOURITE (v. 3),S
FEED (v. 1),Contracted B 
FEEDBACK (v. 1),I
FEEDBACK (v. 2),modified-5
FEEDBACK (v. 2 alt.),E
FEEL (v. 1),bent-midfinger-5
FENCE,4
FENCING,A-index 
FIGHT (v. 1),S
FIGHT (v. 2),I
FIGHT (v. 4),bent-1 
FIGURE (v. 1),A
FIGURE (v. 2),K
FIGURE (v. 3),modified-O
FILE (v. 2),extended-B
FILL_OUT (v. 2),crooked-5
FILM (v. 1),3
FILM (v. 2),5
FINALLY (v. 1),I
FINALLY (v. 2),1
FIND (v. 2),F
FINE (v. 1),5
FINE (v. 1 alt.),5
FINE (v. 2),closed-X
GAME,extended-A
GAY (v.1),extended-B
GENERATION,bent-extended-B
GESTURE,5
GHOST,F
GIRAFFE,C
GIRL,extended-A
GIVE (v.2),X
GLASS (v.2),crooked-1
GLASSES,crooked-L
GLUE,modified-g
GO (v.1),1
GO (v.4),extended-B
GO AHEAD,bent-extended-B
GOAL (v.1),1
GOD,extended-B
FINGER,1
FINGERSPELL,bent-5
FINISH,5
FIRE (v. 1),5
FIREFIGHTER (v. 1),C-index
FIRST (v. 2),1
FIRST (v. 3),1
FISH,B1
FISHING,covered-T
FIX (v. 1),S
FIX (v. 2),F
FLASHLIGHT,contracted-5
FLOAT,extended-B
FLOOR,B1
FLOWER,flat-O
FLY (v. 1),combined-ILY
FLY (v. 2),extended-B
FLY (v. 4),covered-T
FOCUS (v. 1),C
FOCUS_ON (v. 2),extended-B
FOLD (v. 1),extended-B
FOLLOW (v. 1),extended-A
GONE (v.3),A
(BE) GONE (v.4),bent-extended-B
GOOD (v.1),bent-extended-B
(VERY) GOOD (v.2),extended-A
GORILLA,A
GOVERNMENT (v.2),G
GRAMMAR,modified-g
GRANDFATHER (v.1),5
GRANDFATHER (v.4),bent-extended-B
GRANDMOTHER (v.1),5
GRANDMOTHER (v.4),bent-extended-B
GRASS (v.1),crooked -4
GRASS (v.2),crooked-5
GREAT (v.1),extended-B
GREEN,modified-g
GREET(v.1),B1
GREET (v.2),extended-B
GRIEVE,crooked-5
GRIND (v.1),S
GRIND (v.2),A
GRIND (v.3),S
GROUP (v.2),modified-g
GROW UP,extended-B
FOOL (v. 3),X
FOOL (v. 4),X
FOR,1
FORFEIT (v. 2),X
FORM (v. 2),1
FORMER (v. 1),5
FOUL (v. 1),5
FOUL (v. 2),1
FOUR,4
FOX,F
FRACTION (v. 2),extended-B
FRAME (v. 1),modified-g
FRECKLES,crooked-5
FREE (v. 1),S
FREE (v. 2),F
FREEWAY,V
FRENCH,F
FRENCH (alt.),F
FRENCH (alt. 2),F
FRENCH_FRIES,F
FRIDAY,F
FRIEND (v. 1),crooked-1
FRIEND (v. 2),1
(BEST [CLOSE]) FRIEND (v. 3),X
(BEST [CLOSE]) FRIEND (v. 4),extended-R
FRIENDLY,5
GUILTY,modified-g
GULLIBLE (v.2),bent-extended-B
GUM (v.2),crooked-L
GUM (v.3),X
GUN,L
GYM (v.1),bent-extended-B
GYM (v.2),extended-B
HABIT,S
HA-HA,bent-extended-u
HAIR ,F
HALF (v.2),1
HALL (v.1),extended-B
HALLOWE'EN (v.2),Extended-C
HALLOWE'EN (v.4),extended-B
HALLOWE'EN (v.5),modified-5
HAMBURGER,Extended-C
HAMMER,closed-A-index
HANDCUFFS,A
HANDS,extended-B
HANDSOME (v.2),Extended-C
HANG [HANGED] (v.2),S
HAPPY,extended-B
FRISK,crooked-5
FROM_NOW_ON,bent-extended-B
FRONT,extended-B
FRUSTRATED (v. 1),B1
FRUSTRATED (v. 2),B1
FRY,extended-B
FULL (v. 2),B1
FUNCTION (v. 1),S
FUNCTION (v. 2),bent-midfinger-5
FUNNY (v. 1),bent-extended-u
FUNNY (v. 2),Extended-C
FUNNY (v. 3),C
FURNITURE,F
FUTURE,extended-B
HARD (v.1),clawed-V
HARD (v.2),A
HARD OF HEARING ,U
HAT,extended-B
HATCH,Spread C 
HAVE (v.1),bent-extended-B
HE,bent-1 
HEAD (v.1),bent-extended-B
HEADACHE,bent-1 
HEALTH,bent-extended-B
HEAP (v.1),bent-extended-B
HEAP (v.2),bent-extended-B
HEAR,1
HEARING (v.1),1
HEARING (v.2),F
HEARING AID,X
HEART (v.1),bent-midfinger-5
HEART (v.2),bent-midfinger-5
HEAVEN,extended-B
HEAVY,bent-extended-B
HELL ,U
HELLO,B1
HELMET,crooked-5
HELP (v.2),extended-B
HEN (v.1),modified-g
HEN (v.2),3
HERE,extended-B
HIDE (v.2),B1
HIGH (v.1),U
HIGH (v.2),extended-B
HIGH (v.3),crooked-5
(I) LOVE_YOU,combined-ILY
ICE_CREAM,S
IDEA,I
IF (v. 2),offset-F 
IF (v. 3),I
IGNORE,4
IMMATURE,combined-I+1
IMMATURE (alt.),combined-I+1
IMMERSE,modified-O
IMPORTANT (v. 1),F
IMPORTANT (v. 2),I
IMPOSSIBLE,Y
IMPROVE,extended-B
INCH,Y
INCREDIBLE (v. 1),crooked-5
INDEPENDENT,I
INDIAN,F
INDIAN (alt.),F
INDIAN (alt. 2),F
INFECTION (alt.),I
INJECTION,bent-L
INNOCENT,U
INSPIRED,5
INSTEAD,F
INSTITUTE (v. 2),Spread C 
INSULT,1
INSULT (alt.),1
INSURANCE,I
INTERESTING (v. 2),extended-B
INTERNET,bent-midfinger-5
INTERVIEW,I
INTRODUCE,bent-extended-B
INVEST (v. 2),double-C-index
INVITE,bent-extended-B
IRON (v. 1),crooked-1
ISOLATED,1
ITCH,crooked-5
JACKET,extended-A
JEALOUS (v. 1),crooked-1
JIGSAW_PUZZLE (v. 1),bent-U
JIGSAW_PUZZLE (v. 2),extended-A
JOKE (v. 2),X
JOURNEY,crooked-V
JUDGE,F
JUGGLE,crooked-5
HINGE,crooked-5
HIS,extended-B
HISTORY,U
HITCHHIKE,extended-A
